Limpieza de archivos junto con eliminar binarios,https://www.github.com/belisariops/ATK/commit/87d2fb825956c236b03facb523fa1d41e27f0383,-0.00000001
Merge con muchos menos binarios,https://www.github.com/belisariops/ATK/commit/d8292d27a09003ab328ddea215d0ea6e84b3c942,-0.00000001
Revert no se agrega mucho,https://www.github.com/Hawkline451/TeraCity/commit/3ca064a4a5b68fae921fdaf301e065560765bb74,-0.001
Arreglo el gradle solamente,https://www.github.com/Hawkline451/TeraCity/commit/fcb254584e368f6329416fa29ea33dd585446ac2,-0.003
Cambia el formato quitando algunas func,https://www.github.com/PaperTanuki/mochadoom/commit/81418106ed2b64d0209b1344477a5826e8716969,-0.05
Un revert ,https://www.github.com/belisariops/ATK/commit/ae819c77324c24b3858ff436df8107bd594375db,-0.015
Solamente borra unos archivos,https://www.github.com/JSwingRipples2016/jswingripples/commit/e59951c006e2d333f048f0a971741c3b351a55fc,-0.015
"Borra artos, pero agrega artas cosas tambien",https://www.github.com/belisariops/ATK/commit/799eb2998ca6188bd5f2122c500a28c14b696f12,-0.07
No es de este semestre ,https://www.github.com/Hawkline451/TeraCity/commit/be0e84c9a9fe7ae7e8ce69921ef6815351c7644b,0
Solo borra no aporta mucho,https://www.github.com/JSwingRipples2016/jswingripples/commit/416d2c11def44bd7009d682a6dec0b5f6d7093e8,-0.02
No es de este semestre ,https://www.github.com/Hawkline451/TeraCity/commit/abc047c83557e37a49f781ba9fae6ebc166c6813,0
"Cambios de tipo, alguas fun menos ",https://www.github.com/JSwingRipples2016/jswingripples/commit/11f6f8526358d3783c6792281e603afe09c4cee0,-0.04
No es de este semestre ,https://www.github.com/belisariops/ATK/commit/adf628f7b9b2375507768fec913858d0902fa4ad,0
"Agrega varias cosasa, pero quita gradle",https://www.github.com/Hawkline451/TeraCity/commit/5f86ea60ea6519d1b58648e93334c260fb14d778,-0.17
Borro artas funciones inutiles,https://www.github.com/JSwingRipples2016/jswingripples/commit/3fb25b1fa830e0179bdd9139c2933d1965ff5d18,-0.1
Borro puros import,https://www.github.com/belisariops/ATK/commit/93acda712fc24200be5e975f0a24cffd19a29d20,-0.03
Limpieza de interfaces,https://www.github.com/JSwingRipples2016/jswingripples/commit/75413f3dec38615cb7ac7849d00ba7a631ddcdaa,-0.08
Limpieza de clases,https://www.github.com/JSwingRipples2016/jswingripples/commit/3b5ea4fed9b1c3a759e2a3d244eaa359448e7aef,-0.1
Eliminando funciones no usadas,https://www.github.com/JSwingRipples2016/jswingripples/commit/a1922a7aa5110b9a557ce467231af79b9ffb283b,-0.1
No es de este semestre ,https://www.github.com/belisariops/ATK/commit/a7417a6399a8360dea7591790d0d64ce77491046,0
Se simplifica funciones,https://www.github.com/PaperTanuki/mochadoom/commit/e839d8f485244d3bf20c729e6e5cb73fd9aab9b1,-0.1
Se simplifica funciones,https://www.github.com/JSwingRipples2016/jswingripples/commit/6b6672ca613f654f54a7e76b917bcc9468d0b460,-0.1
Remplaza codigo ,https://www.github.com/JSwingRipples2016/jswingripples/commit/36905454ec28cfe22cba16fb2d5d89a4a72035c9,-0.3
Borra clase,https://www.github.com/JSwingRipples2016/jswingripples/commit/d253172d88a277d1b016a77926ad5f6084f4d28d,-0.1
Limpia imports,https://www.github.com/belisariops/ATK/commit/484eb0dff0ad53ea8e82a9beb6c38f6202b2b645,-0.1
Remplazo de una funcion,https://www.github.com/belisariops/ATK/commit/b01b83453b5c777b7ff0ddf106042e9beec13c3e,-0.1
Cambia algunaas funciones borrando otras,https://www.github.com/PaperTanuki/mochadoom/commit/d7e0033a43208f7bffad8be60ca37352c109be4b,-0.3
Cambio de signatures,https://www.github.com/JSwingRipples2016/jswingripples/commit/4e558b9b4bf7964ed1f6ef819244dbcb78fa020f,-0.1
Borra comentarios cambio signatures,https://www.github.com/PaperTanuki/mochadoom/commit/6c235338525d77f6ec7157e830cf5b1a1d9c6674,-0.1
Agrega funcionalidad cambia funciones,https://www.github.com/belisariops/ATK/commit/02f03fc82c4811a9acd4abbb613b9d392bb2da22,-0.3
Borra funciones no usadas,https://www.github.com/JSwingRipples2016/jswingripples/commit/9ff2ea21fd00ddba066b311a2fc3196daef80b0a,-0.1
No es de este semestre ,https://www.github.com/belisariops/ATK/commit/54b6bc56eb7436c816107faffae76f79176eec22,0
Cambios menores de clases,https://www.github.com/JSwingRipples2016/jswingripples/commit/943f8b19ab02a1a0ba4020b0b6e0a72985dcf57d,-0.1
Cambia funcion y limpia codigo,https://www.github.com/Hawkline451/TeraCity/commit/2f1cac416ce823b189bff78a834bba9334ae23da,-0.6
